0.14,0.16,0.18,0.2,0.22,0.24,0.26,0.28,0.3,0.32,0.34,0.36,0.38,0.4,0.42,0.44
0.20,0.23,0.27,0.30,0.35,0.40,0.44,0.46,0.50,0.51,0.52,0.53,0.53,0.54,0.54,0.55
0.5,0.6,0.7,0.75,0.75,0.76,0.76,0.76,0.77,0.77,0.77,0.77,0.78,0.78,0.78,0.78
0.3,0.32,0.34,0.36,0.38,0.4,0.42,0.44,0.46,0.48,0.5,0.52,0.54,0.56,0.58,0.6
0.01,0.06,0.11,0.16,0.21,0.26,0.27,0.28,0.29,0.3,0.31,0.320000000000001,0.330000000000001,0.340000000000001,0.350000000000001,0.360000000000001
0.8,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.95
0.55,0.58,0.61,0.64,0.67,0.68,0.690000000000001,0.700000000000001,0.710000000000002,0.720000000000002,0.730000000000003,0.740000000000003,0.750000000000004,0.760000000000004,0.770000000000005,0.780000000000005
0.02,0.04,0.06,0.08,0.1,0.12,0.14,0.16,0.18,0.2,0.22,0.24,0.26,0.28,0.3,0.32
0.1,0.13,0.16,0.19,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.3,0.3,0.3
0.7,0.72,0.74,0.76,0.78,0.8,0.8,0.8,0.800000000000001,0.800000000000001,0.800000000000002,0.800000000000002,0.800000000000003,0.800000000000003,0.800000000000004,0.800000000000004
0.4,0.41,0.43,0.45,0.47,0.5,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.62
0.2,0.21,0.22,0.23,0.24,0.26,0.28,0.3,0.32,0.34,0.360000000000001,0.380000000000001,0.400000000000001,0.420000000000001,0.42,0.43
0.6,0.61,0.64,0.7,0.73,0.75,0.77,0.79,0.81,0.83,0.85,0.86,0.87,0.88,0.89,0.9
0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.1,0.12,0.14,0.16,0.18,0.2,0.22,0.24
0.05,0.07,0.09,0.11,0.13,0.15,0.17,0.23,0.29,0.35,0.41,0.42,0.43,0.44,0.45,0.460000000000001
0.6,0.63,0.66,0.69,0.72,0.75,0.779999999999999,0.809999999999999,0.839999999999999,0.869999999999999,0.899999999999999,0.9,0.900000000000001,0.900000000000002,0.900000000000003,0.900000000000004
0.06,0.07,0.08,0.09,0.1,0.14,0.18,0.22,0.26,0.3,0.34,0.38,0.42,0.43,0.44,0.45
